C00438754|77002|2016|57|57|1
C00040279|60064|2016|240|240|1
C00365122|28078|2016|1000|1000|1
C00400929|36303|2016|115|115|1
C00136739|19034|2016|101|101|1
C00575449|30342|2016|25|25|1
C00153577|16505|2016|307|307|1
C00430157|77002|2016|192|192|1
C00236489|67220|2016|208|208|1
C00010603|20191|2016|25|25|1
C00010603|24014|2016|10|10|1
C00010603|33149|2016|50|50|1
C00040923|10036|2016|141|141|1
C00096156|20001|2016|196|196|1
C00411553|73104|2016|416|416|1
C00235739|76092|2016|208|208|1
C00235739|76092|2016|208|416|2
C00000935|02835|2016|10|10|1
C00000935|76012|2016|50|50|1
C00000935|28659|2016|50|50|1
C00000935|92821|2016|15|15|1
C00000935|48105|2016|100|100|1
C00000935|10004|2016|25|25|1
C00000935|92821|2016|15|30|2
C00000935|92821|2016|5|35|3
C00000935|10028|2016|100|100|1
C00000935|80130|2016|35|35|1
C00000935|88047|2016|100|100|1
C00000935|10968|2016|35|35|1
C00000935|64081|2016|5|5|1
C00000935|10463|2016|5|5|1
C00000935|53212|2016|50|50|1
C00000935|49012|2016|35|35|1
C00000935|95819|2016|100|100|1
C00458844|07719|2016|100|100|1
C00458844|30548|2016|35|35|1
C00458844|60015|2016|100|100|1
C00458844|33156|2016|340|340|1
C00238725|78255|2016|230|230|1
C00539866|46311|2016|1000|1000|1
C00498568|60008|2016|15|15|1
C00498568|61285|2016|25|25|1
C00498568|49024|2016|5|5|1
C00327023|60614|2016|100|100|1
C00401224|60035|2016|10|10|1
C00401224|92651|2016|2|2|1
C00401224|04421|2016|1|1|1
C00401224|04421|2016|1|2|2
C00401224|97502|2016|10|10|1
C00401224|27909|2016|3|3|1
C00401224|94954|2016|1|1|1
C00401224|33913|2016|1|1|1
C00401224|85203|2016|5|5|1
C00401224|84335|2016|2|2|1
C00401224|64081|2016|1|1|1
C00401224|70360|2016|3|3|1
C00401224|90272|2016|2|2|1
C00401224|90272|2016|2|4|2
C00401224|98370|2016|1|1|1
C00401224|10940|2016|3|3|1
C00401224|75205|2016|1|1|1
C00401224|23664|2016|10|10|1
C00401224|95404|2016|5|5|1
C00401224|33477|2016|1|1|1
C00401224|42351|2016|2|2|1
C00401224|93105|2016|1|1|1
C00401224|81647|2016|5|5|1
C00401224|21078|2016|1|1|1
C00401224|76011|2016|3|3|1
C00401224|94611|2016|5|5|1
C00401224|20007|2016|10|10|1
C00401224|30080|2016|2|2|1
C00401224|60008|2016|2|2|1
C00401224|38119|2016|3|3|1
C00401224|94611|2016|2|7|2
C00401224|60201|2016|3|3|1
C00401224|02653|2016|10|10|1
C00401224|94502|2016|2|2|1
C00401224|92116|2016|1|1|1
C00401224|60004|2016|1|1|1
